       ,Solar Longitude,MSL Mission Sol,Tau,Sigma
       ,180.800003,2060.729004,0.656,0.036
       ,180.800003,2060.730957,0.651,0.035
       ,180.800003,2060.732666,0.652,0.035
       ,180.800003,2060.734375,0.66,0.035
       ,180.800003,2060.736084,0.654,0.035
       ,180.800003,2060.737793,0.647,0.035
       ,180.800003,2060.739746,0.642,0.035
       ,181.899994,2062.648682,0.64,0.036
       ,183.399994,2065.321289,0.71,0.035
       ,183.600006,2065.677979,0.642,0.035
       ,185.800003,2069.291504,0.696,0.035
       ,186.5,2070.641357,0.707,0.036
       ,187.699997,2072.617188,0.631,0.037
       ,188.300003,2073.60498,0.57,0.037
       ,188.899994,2074.648926,0.647,0.036
       ,189.5,2075.655273,0.775,0.036
       ,190.100006,2076.660645,1.056,0.036
       ,190.5,2077.345703,1.772,0.037
       ,190.699997,2077.658691,1.327,0.036
       ,191.899994,2079.632324,1.383,0.036
       ,192.5,2080.691895,1.56,0.035
       ,193.100006,2081.584717,2.14,0.037
       ,193.699997,2082.591797,3.313,0.037
       ,194.300003,2083.591797,3.898,0.036
       ,194.800003,2084.390381,7.218,0.271
       ,194.899994,2084.646729,7.113,0.327
       ,195.5,2085.584229,8.479,0.519
       ,196.100006,2086.638672,7.623,0.092
       ,196.100006,2086.638916,7.635,0.037
       ,196.600006,2087.433838,7.498,0.039
       ,196.699997,2087.62915,6.958,0.048
       ,196.699997,2087.629395,6.927,0.036
       ,196.699997,2087.667969,7.029,0.037
       ,197.199997,2088.452881,7.345,0.04
       ,197.899994,2089.57373,6.845,0.037
       ,197.899994,2089.638916,7.108,0.076
       ,197.899994,2089.63916,7.097,0.036
       ,198.5,2090.551758,6.913,0.037
       ,199,2091.337402,6.675,0.08
       ,199,2091.337891,6.687,0.036
       ,199.800003,2092.671143,6.004,0.035
       ,200.300003,2093.596191,6.403,0.037
       ,200.399994,2093.672607,6.509,0.036
       ,201,2094.596924,6.527,0.037
       ,201.5,2095.555664,6.34,0.037
       ,202.199997,2096.623291,6.028,0.037
       ,202.899994,2097.685059,6.182,0.035
       ,203.5,2098.665039,6.433,0.036
       ,203.899994,2099.320312,6.817,0.036
       ,204.699997,2100.667969,6.009,0.036
       ,205.300003,2101.631592,5.676,0.036
       ,205.800003,2102.44165,5.785,0.038
       ,206.5,2103.664551,5.448,0.036
       ,208.800003,2107.335693,6.376,0.036
       ,209,2107.643555,5.378,0.037
       ,209.600006,2108.570312,5.403,0.039
       ,209.699997,2108.702881,5.305,0.038
       ,210.300003,2109.654297,5.258,0.038
       ,210.300003,2109.654541,5.259,0.036
       ,210.899994,2110.692871,5.42,0.035
       ,211.300003,2111.335693,6.07,0.075
       ,211.300003,2111.336182,6.026,0.043
       ,211.5,2111.624268,5.156,0.036
       ,212.199997,2112.685303,4.788,0.035
       ,212.800003,2113.609863,4.784,0.036
       ,213.399994,2114.65625,4.865,0.037
       ,214,2115.645996,4.874,0.036
       ,214.5,2116.305664,5.626,0.037
       ,214.5,2116.405762,5.105,0.037
       ,214.699997,2116.627197,4.728,0.036
       ,215.100006,2117.297852,5.268,0.035
       ,215.300003,2117.553223,4.375,0.036
       ,215.699997,2118.310791,5.101,0.036
       ,216.5,2119.607666,4.142,0.036
       ,219.100006,2123.648193,3.847,0.036
       ,219.699997,2124.629639,3.931,0.036
       ,220.199997,2125.388916,4.18,0.037
       ,220.399994,2125.691162,3.87,0.043
       ,220.399994,2125.69165,3.862,0.036
       ,222.800003,2129.496826,3.442,0.037
       ,222.899994,2129.663574,3.442,0.035
       ,225.300003,2133.297852,3.345,0.036
       ,225.5,2133.679932,2.973,0.035
       ,228.100006,2137.647217,2.842,0.036
       ,229.399994,2139.674072,2.487,0.035
       ,229.800003,2140.289795,2.568,0.035
       ,231.899994,2143.642822,2.267,0.036
       ,232.300003,2144.286377,2.701,0.037
       ,232.5,2144.532471,2.328,0.037
       ,233.600006,2146.292725,2.532,0.036
       ,233.899994,2146.664062,2.206,0.036
       ,235.199997,2148.609619,2.106,0.036
       ,235.699997,2149.441162,1.928,0.037
       ,235.800003,2149.670898,1.944,0.035
       ,237.199997,2151.721191,1.91,0.035
       ,238.199997,2153.332764,2.097,0.036
       ,238.399994,2153.584473,1.899,0.036
       ,239.100006,2154.714355,1.827,0.035
       ,240.399994,2156.647461,1.818,0.036
       ,244.300003,2162.64917,1.501,0.036
       ,244.699997,2163.286865,1.786,0.035
       ,246.199997,2165.663574,1.392,0.035
       ,247.300003,2167.32251,1.634,0.037
       ,247.5,2167.58667,1.48,0.039
